city,date,clouds,precip
Amsterdam,2015-01-01,-0.2618894573440027,0
Amsterdam,2015-01-02,-2.4361318815864275,2
Amsterdam,2015-01-03,0.4547772093226632,1
Amsterdam,2015-01-04,-3.4361318815864275,0.1
Amsterdam,2015-01-05,1.0790196335650881,0
Amsterdam,2015-01-06,-0.5573440027985486,0
Amsterdam,2015-01-07,-1.826704272158818,0
Amsterdam,2015-01-08,1.4633805588351043,6
Amsterdam,2015-01-09,1.0088351042896493,0.1
Amsterdam,2015-01-10,1.0694411648957098,0.6
Amsterdam,2015-01-11,-0.1426800472255021,0
Amsterdam,2015-01-12,1.433077528532074,0.1
Amsterdam,2015-01-13,1.3724714679260135,15
Amsterdam,2015-01-14,-0.9457103502558049,4.6
Amsterdam,2015-01-15,1.8247584065765885,6
Amsterdam,2015-01-16,-1.941908260090078,0
Amsterdam,2015-01-17,-2.857059775241593,0
Amsterdam,2015-01-18,2.6126371944553766,1.7000000000000002
Amsterdam,2015-01-19,0.0823341641523454,0
Amsterdam,2015-01-20,1.4914250732432546,0
Amsterdam,2015-01-21,0.03687961869780132,0
Amsterdam,2015-01-22,2.1088569679478777,0
Amsterdam,2015-01-23,-1.9820521229612131,0
Amsterdam,2015-01-24,-1.6790218199309104,7
Amsterdam,2015-01-25,-0.860840001749092,0.1
Amsterdam,2015-01-26,1.260372119463029,1.3
Amsterdam,2015-01-27,-1.9365975775066677,0
Amsterdam,2015-01-28,1.5027963618872713,0.4
Amsterdam,2015-01-29,-1.0781188508461241,0.6
Amsterdam,2015-01-30,-1.623573396300669,5
Amsterdam,2015-01-31,-2.350846123573396,0.1
Amsterdam,2015-02-01,-0.10842188114915441,0.3
Amsterdam,2015-02-02,-1.9872097599370329,5
Amsterdam,2015-02-03,-3.229634002361275,0.10000000000000003
Amsterdam,2015-02-04,-2.608421881149154,0
Amsterdam,2015-02-05,-0.6717817270448849,0.2
Amsterdam,2015-02-06,-2.580872636135794,0
Amsterdam,2015-02-07,1.2373091820460242,0
Amsterdam,2015-02-08,-0.15663021189337023,0
Amsterdam,2015-02-09,1.6312485759854178,0
Amsterdam,2015-02-10,2.0554910002278426,0
Amsterdam,2015-02-11,2.419127363864206,0
Amsterdam,2015-02-12,3.1005859028885343,0
Amsterdam,2015-02-13,-3.463808036505405,0
Amsterdam,2015-02-14,1.615737418040049,0
Amsterdam,2015-02-15,-3.7782019758993446,0
Amsterdam,2015-02-16,-4.838808036505405,0
Amsterdam,2015-02-17,0.736949539252171,0.2
Amsterdam,2015-02-18,-4.838808036505405,0
Amsterdam,2015-02-19,-1.885185809861134,0
Amsterdam,2015-02-20,1.9936020689267444,6.3
Amsterdam,2015-02-21,0.05420812953280496,4
Amsterdam,2015-02-22,-3.006397931073255,0
Amsterdam,2015-02-23,-1.49124641592174,3.2
Amsterdam,2015-02-24,-0.2791252038005281,0.8
Amsterdam,2015-02-25,-0.47912520380052825,0.9
Amsterdam,2015-02-26,3.418347044970422,0.3
Amsterdam,2015-02-27,-0.7937741671507905,0
Amsterdam,2015-02-28,1.3543739809973578,0
Amsterdam,2015-03-01,-2.0361984095750327,3
Amsterdam,2015-03-02,-1.1574105307871538,0
Amsterdam,2015-03-03,0.4789531055764824,0
Amsterdam,2015-03-04,1.327437954061331,0
Amsterdam,2015-03-05,-0.8977196204468929,0
Amsterdam,2015-03-06,3.162886440159167,0
Amsterdam,2015-03-07,1.8901591674318947,0
Amsterdam,2015-03-08,-4.382568105295378,0
Amsterdam,2015-03-09,-0.1992347719620442,0
Amsterdam,2015-03-10,-2.0492347719620447,0
Amsterdam,2015-03-11,-1.1233088460361187,0
Amsterdam,2015-03-12,-4.69373840445269,0
Amsterdam,2015-03-13,-4.06873840445269,0
Amsterdam,2015-03-14,2.0335343228200378,0
Amsterdam,2015-03-15,2.2456555349412497,0
Amsterdam,2015-03-16,-2.0937384044526897,0
Amsterdam,2015-03-17,-3.9967687074829925,0
Amsterdam,2015-03-18,2.8820191713048864,0
Amsterdam,2015-03-19,-0.09226026498753725,0
Amsterdam,2015-03-20,2.608497310770038,0
Amsterdam,2015-03-21,2.2448609471336747,0.2
Amsterdam,2015-03-22,0.19940640167912882,0
Amsterdam,2015-03-23,1.1994064016791288,0
Amsterdam,2015-03-24,-1.330896628623901,0
Amsterdam,2015-03-25,2.5327397350124627,4.9
Amsterdam,2015-03-26,0.09555832295558275,0
Amsterdam,2015-03-27,2.580406807804068,3.3
Amsterdam,2015-03-28,2.9440431714404314,0.6
Amsterdam,2015-03-29,1.6107098381070983,3
Amsterdam,2015-03-30,-0.5711083437110838,0
Amsterdam,2015-03-31,-0.05595682855956863,8
Amsterdam,2015-04-01,-0.13171440431714387,0.7
Amsterdam,2015-04-02,-0.26018075491759696,3.1
Amsterdam,2015-04-03,-0.5026049973418392,0
Amsterdam,2015-04-04,0.6792131844763425,2.2
Amsterdam,2015-04-05,-2.29351408825093,0
Amsterdam,2015-04-06,2.3761828814460397,0.1
Amsterdam,2015-04-07,-1.1086656034024451,0
Amsterdam,2015-04-08,1.9216374269005847,0
Amsterdam,2015-04-09,-3.476484620478127,0
Amsterdam,2015-04-10,-3.7492118932053997,0
Amsterdam,2015-04-11,2.3349631909696846,0.1
Amsterdam,2015-04-12,-2.711333105326612,0
Amsterdam,2015-04-13,-1.0976967416902483,0.09999999999999998
Amsterdam,2015-04-14,-1.2232378672313735,0
Amsterdam,2015-04-15,-4.044666438659945,0
Amsterdam,2015-04-16,1.082295543150806,0
Amsterdam,2015-04-17,2.248962209817473,0
Amsterdam,2015-04-18,-1.9294889686337056,0
Amsterdam,2015-04-19,0.4610834219386848,0
Amsterdam,2015-04-20,-3.7813408204855574,0
Amsterdam,2015-04-21,-3.1813408204855573,0
Amsterdam,2015-04-22,3.3550228158780793,0
Amsterdam,2015-04-23,1.1434868162140894,0
Amsterdam,2015-04-24,-3.5080283353010624,0
Amsterdam,2015-04-25,1.8404565131837858,0.6
Amsterdam,2015-04-26,3.0222746950019674,0
Amsterdam,2015-04-27,-2.2201495474222743,0
Amsterdam,2015-04-28,-0.7049980322707596,0
Amsterdam,2015-04-29,0.9010625737898472,0
Amsterdam,2015-04-30,-2.100150945545683,0
Amsterdam,2015-05-01,-1.221363066757804,0
Amsterdam,2015-05-02,-2.001666097060834,0
Amsterdam,2015-05-03,2.566515721120984,0.1
Amsterdam,2015-05-04,-0.16075700615174338,0
Amsterdam,2015-05-05,-0.2516660970608342,4
Amsterdam,2015-05-06,1.2483339029391658,2
Amsterdam,2015-05-07,0.3753498185316366,0.2
Amsterdam,2015-05-08,1.4511073942892128,0
Amsterdam,2015-05-09,2.284440727622546,0.2
Amsterdam,2015-05-10,-1.1633707201889019,0
Amsterdam,2015-05-11,1.64807709125891,0
Amsterdam,2015-05-12,1.9511073942892128,0
Amsterdam,2015-05-13,-1.2374447942629758,0
Amsterdam,2015-05-14,1.60668044077135,0
Amsterdam,2015-05-15,0.8188016528925619,0
Amsterdam,2015-05-16,2.5763774104683197,0.7
Amsterdam,2015-05-17,-1.0296831955922863,0
Amsterdam,2015-05-18,1.5309228650137738,0
Amsterdam,2015-05-19,-0.2721074380165289,0
Amsterdam,2015-05-20,-0.6357438016528927,0.09999999999999998
Amsterdam,2015-05-21,-1.9508789190607376,0
